date,cases,deaths,url
2003-03-17 00:00:00,167,4,https://www.who.int/csr/sars/country/table/en/
2003-03-18 00:00:00,219,4,https://www.who.int/csr/sars/country/tablemarch18/en/
2003-03-19 00:00:00,264,9,https://www.who.int/csr/sars/country/2003_19_03/en/
2003-03-20 00:00:00,306,10,https://www.who.int/csr/sars/country/2003_03_20/en/
2003-03-21 00:00:00,350,10,https://www.who.int/csr/sars/country/2003_03_21/en/
2003-03-22 00:00:00,386,11,https://www.who.int/csr/sars/country/2003_03_22/en/
2003-03-24 00:00:00,456,17,https://www.who.int/csr/sars/country/2003_03_24/en/
2003-03-25 00:00:00,487,17,https://www.who.int/csr/sars/country/2003_03_25/en/
2003-03-26 00:00:00,1323,49,https://www.who.int/csr/sars/country/2003_03_26/en/
2003-03-27 00:00:00,1408,53,https://www.who.int/csr/sars/country/2003_03_27/en/
2003-03-28 00:00:00,1485,53,https://www.who.int/csr/sars/country/2003_03_28/en/
2003-03-29 00:00:00,1550,54,https://www.who.int/csr/sars/country/2003_03_29/en/
2003-03-31 00:00:00,1622,58,https://www.who.int/csr/sars/country/2003_03_31/en/
2003-04-01 00:00:00,1804,62,https://www.who.int/csr/sars/country/2003_04_01/en/
2003-04-02 00:00:00,2223,78,https://www.who.int/csr/sars/country/2003_04_02/en/
2003-04-03 00:00:00,2270,79,https://www.who.int/csr/sars/country/2003_04_03/en/
2003-04-04 00:00:00,2353,84,https://www.who.int/csr/sars/country/2003_04_04/en/
2003-04-05 00:00:00,2416,84,https://www.who.int/csr/sars/country/2003_04_05/en/
2003-04-07 00:00:00,2601,98,https://www.who.int/csr/sars/country/2003_04_07/en/
2003-04-08 00:00:00,2671,103,https://www.who.int/csr/sars/country/2003_04_08/en/
2003-04-09 00:00:00,2722,106,https://www.who.int/csr/sars/country/2003_04_09/en/
2003-04-10 00:00:00,2781,111,https://www.who.int/csr/sars/country/2003_04_10/en/
2003-04-11 00:00:00,2890,116,https://www.who.int/csr/sars/country/2003_04_11/en/
2003-04-12 00:00:00,2960,119,https://www.who.int/csr/sars/country/2003_04_12/en/
2003-04-14 00:00:00,3169,144,https://www.who.int/csr/sars/country/2003_04_14/en/
2003-04-15 00:00:00,3235,154,https://www.who.int/csr/sars/country/2003_04_15/en/
2003-04-16 00:00:00,3293,159,https://www.who.int/csr/sars/country/2003_04_16/en/
2003-04-17 00:00:00,3389,165,https://www.who.int/csr/sars/country/2003_04_17/en/
2003-04-18 00:00:00,3547,182,https://www.who.int/csr/sars/country/2003_04_18/en/
2003-04-19 00:00:00,3547,182,https://www.who.int/csr/sars/country/2003_04_19/en/
2003-04-21 00:00:00,3861,217,https://www.who.int/csr/sars/country/2003_04_21/en/
2003-04-22 00:00:00,3947,229,https://www.who.int/csr/sars/country/2003_04_22/en/
2003-04-23 00:00:00,4288,251,https://www.who.int/csr/sars/country/2003_04_23/en/
2003-04-24 00:00:00,4439,263,https://www.who.int/csr/sars/country/2003_04_24/en/
2003-04-25 00:00:00,4649,274,https://www.who.int/csr/sars/country/2003_04_25/en/
2003-04-26 00:00:00,4836,293,https://www.who.int/csr/sars/country/2003_04_26/en/
2003-04-28 00:00:00,5050,321,https://www.who.int/csr/sars/country/2003_04_28/en/
2003-04-29 00:00:00,5462,353,https://www.who.int/csr/sars/country/2003_04_29/en/
2003-04-30 00:00:00,5663,372,https://www.who.int/csr/sars/country/2003_04_30/en/
2003-05-01 00:00:00,5865,391,https://www.who.int/csr/sars/country/2003_05_01/en/
2003-05-02 00:00:00,6054,417,https://www.who.int/csr/sars/country/2003_05_02/en/
2003-05-03 00:00:00,6234,435,https://www.who.int/csr/sars/country/2003_05_03/en/
2003-05-05 00:00:00,6583,461,https://www.who.int/csr/sars/country/2003_05_05/en/
2003-05-06 00:00:00,6727,478,https://www.who.int/csr/sars/country/2003_05_06/en/
2003-05-07 00:00:00,6903,495,https://www.who.int/csr/sars/country/2003_05_07/en/
2003-05-08 00:00:00,7053,506,https://www.who.int/csr/sars/country/2003_05_08/en/
2003-05-09 00:00:00,7183,514,https://www.who.int/csr/sars/country/2003_05_09/en/
2003-05-10 00:00:00,7296,526,https://www.who.int/csr/sars/country/2003_05_10/en/
2003-05-12 00:00:00,7447,552,https://www.who.int/csr/sars/country/2003_05_12/en/
2003-05-13 00:00:00,7548,573,https://www.who.int/csr/sars/country/2003_05_13/en/
2003-05-14 00:00:00,7628,587,https://www.who.int/csr/sars/country/2003_05_14/en/
2003-05-15 00:00:00,7699,598,https://www.who.int/csr/sars/country/2003_05_15/en/
2003-05-16 00:00:00,7739,611,https://www.who.int/csr/sars/country/2003_05_16/en/
2003-05-17 00:00:00,7761,623,https://www.who.int/csr/sars/country/2003_05_17/en/
2003-05-19 00:00:00,7864,643,https://www.who.int/csr/sars/country/2003_05_19/en/
2003-05-20 00:00:00,7919,662,https://www.who.int/csr/sars/country/2003_05_20/en/
2003-05-21 00:00:00,7956,666,https://www.who.int/csr/sars/country/2003_05_21/en/
2003-05-22 00:00:00,8046,682,https://www.who.int/csr/sars/country/2003_05_22/en/
2003-05-23 00:00:00,8117,689,https://www.who.int/csr/sars/country/2003_05_23/en/
2003-05-24 00:00:00,8141,696,https://www.who.int/csr/sars/country/2003_05_24a/en/
2003-05-26 00:00:00,8202,725,https://www.who.int/csr/sars/country/2003_05_26/en/
2003-05-27 00:00:00,8221,735,https://www.who.int/csr/sars/country/2003_05_27/en/
2003-05-28 00:00:00,8240,745,https://www.who.int/csr/sars/country/2003_05_28/en/
2003-05-29 00:00:00,8295,750,https://www.who.int/csr/sars/country/2003_05_29/en/
2003-05-30 00:00:00,8317,754,https://www.who.int/csr/sars/country/2003_05_30/en/
2003-05-31 00:00:00,8360,764,https://www.who.int/csr/sars/country/2003_05_31/en/
2003-06-02 00:00:00,8384,770,https://www.who.int/csr/sars/country/2003_06_02/en/
2003-06-03 00:00:00,8398,772,https://www.who.int/csr/sars/country/2003_06_03/en/
2003-06-04 00:00:00,8402,772,https://www.who.int/csr/sars/country/2003_06_04/en/
2003-06-05 00:00:00,8403,775,https://www.who.int/csr/sars/country/2003_06_05/en/
2003-06-06 00:00:00,8404,779,https://www.who.int/csr/sars/country/2003_06_06/en/
2003-06-09 00:00:00,8421,784,https://www.who.int/csr/sars/country/2003_06_09/en/
2003-06-10 00:00:00,8430,789,https://www.who.int/csr/sars/country/2003_06_10/en/
2003-06-11 00:00:00,8435,789,https://www.who.int/csr/sars/country/2003_06_11/en/
2003-06-12 00:00:00,8445,790,https://www.who.int/csr/sars/country/2003_06_12/en/
