"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"HWF_0010","Dentists (per 10 000 population)","http://apps.who.int/gho/data/node.wrapper.imr?x-id=5323","PUBLISHED","Published","","2013","2013","","","","","BGD","Bangladesh","","0.383","0.38300","","","","","Includes Dentists </br> Data Source: NHWA data platform, accessed November 2018"
"HWF_0010","Dentists (per 10 000 population)","http://apps.who.int/gho/data/node.wrapper.imr?x-id=5323","PUBLISHED","Published","","2013","2013","","","","","CHE","Switzerland","","5.174","5.17400","","","","","Includes Dentists </br> Data Source: NHWA data platform, accessed November 2018"
"HWF_0010","Dentists (per 10 000 population)","http://apps.who.int/gho/data/node.wrapper.imr?x-id=5323","PUBLISHED","Published","","2012","2012","","","","","GEO","Georgia","","4.891","4.89100","","","","","Includes Dentists </br> Data Source: NHWA data platform, accessed November 2018"
"HWF_0010","Dentists (per 10 000 population)","http://apps.who.int/gho/data/node.wrapper.imr?x-id=5323","PUBLISHED","Published","","2010","2010","","","","","AUS","Australia","","5.187","5.18700","","","","","Includes Dentists</br> Data Source: ABS 2011. Labour Force, Australia, detailed, quarterly, February 2011. Cat. No. 6291.0.55.003, Table E08. Canberra: ABS."
"HWF_0010","Dentists (per 10 000 population)","http://apps.who.int/gho/data/node.wrapper.imr?x-id=5323","PUBLISHED","Published","","2007","2007","","","","","CUB","Cuba","","9.631","9.63100","","","","","Includes Dentists </br> Data Source: NHWA data platform, accessed November 2018"
"HWF_0010","Dentists (per 10 000 population)","http://apps.who.int/gho/data/node.wrapper.imr?x-id=5323","PUBLISHED","Published","","2009","2009","","","","","SVK","Slovakia","","4.875","4.87500","","","","","Includes Dentists </br> Data Source: NHWA data platform, accessed November 2018"
"HWF_0010","Dentists (per 10 000 population)","http://apps.who.int/gho/data/node.wrapper.imr?x-id=5323","PUBLISHED","Published","","2012","2012","","","","","BHR","Bahrain","","1.069","1.06900","","","","","Includes Dentists </br> Data Source: NHWA data platform, accessed November 2018"
"HWF_0010","Dentists (per 10 000 population)","http://apps.who.int/gho/data/node.wrapper.imr?x-id=5323","PUBLISHED","Published","","2015","2015","","","","","OMN","Oman","","2.736","2.73600","","","","","Includes Dentists </br> Data Source: NHWA data platform, accessed November 2018"
"HWF_0010","Dentists (per 10 000 population)","http://apps.who.int/gho/data/node.wrapper.imr?x-id=5323","PUBLISHED","Published","","2008","2008","","","","","URY","Uruguay","","7.389","7.38900","","","","","Includes Dentists </br> Data Source: NHWA data platform, accessed November 2018"
"HWF_0010","Dentists (per 10 000 population)","http://apps.who.int/gho/data/node.wrapper.imr?x-id=5323","PUBLISHED","Published","","2015","2015","","","","","TLS","Timor-Leste","","0.145","0.14500","","","","","Includes Dentists </br> Data Source: NHWA data platform, accessed November 2018"
"HWF_0010","Dentists (per 10 000 population)","http://apps.who.int/gho/data/node.wrapper.imr?x-id=5323","PUBLISHED","Published","","2012","2012","","","","","IRL","Ireland","","5.688","5.68800","","","","","Includes Dentists </br> Data Source: NHWA data platform, accessed November 2018"
"HWF_0010","Dentists (per 10 000 population)","http://apps.who.int/gho/data/node.wrapper.imr?x-id=5323","PUBLISHED","Published","","2016","2016","","","","","SYC","Seychelles","","2.09","2.09000","","","","","Includes Dentists</br> Data Source: WHO estimated value"
"HWF_0010","Dentists (per 10 000 population)","http://apps.who.int/gho/data/node.wrapper.imr?x-id=5323","PUBLISHED","Published","","2008","2008","","","","","BRN","Brunei Darussalam","","2.162","2.16200","","","","","Includes Dentists </br> Data Source: NHWA data platform, accessed November 2018"
"HWF_0010","Dentists (per 10 000 population)","http://apps.who.int/gho/data/node.wrapper.imr?x-id=5323","PUBLISHED","Published","","2014","2014","","","","","LTU","Lithuania","","9.011","9.01100","","","","","Includes Dentists </br> Data Source: NHWA data platform, accessed November 2018"
"HWF_0010","Dentists (per 10 000 population)","http://apps.who.int/gho/data/node.wrapper.imr?x-id=5323","PUBLISHED","Published","","2015","2015","","","","","BEL","Belgium","","7.345","7.34500","","","","","Includes Dentists </br> Data Source: NHWA data platform, accessed November 2018"
"HWF_0010","Dentists (per 10 000 population)","http://apps.who.int/gho/data/node.wrapper.imr?x-id=5323","PUBLISHED","Published","","2014","2014","","","","","NIC","Nicaragua","","0.432","0.43200","","","","","Includes Dentists </br> Data Source: NHWA data platform, accessed November 2018"
"HWF_0010","Dentists (per 10 000 population)","http://apps.who.int/gho/data/node.wrapper.imr?x-id=5323","PUBLISHED","Published","","2015","2015","","","","","TGO","Togo","","0.024","0.02400","","","","","Includes Chirurgiens-dentistes</br> Data Source: Ministry of Health and Social Protection"
"HWF_0010","Dentists (per 10 000 population)","http://apps.who.int/gho/data/node.wrapper.imr?x-id=5323","PUBLISHED","Published","","2009","2009","","","","","MMR","Myanmar","","0.463","0.46300","","","","","Includes Dentists </br> Data Source: NHWA data platform, accessed November 2018"
"HWF_0010","Dentists (per 10 000 population)","http://apps.who.int/gho/data/node.wrapper.imr?x-id=5323","PUBLISHED","Published","","2013","2013","","","","","NOR","Norway","","8.733","8.73300","","","","","Includes Dentists </br> Data Source: NHWA data platform, accessed November 2018"
"HWF_0010","Dentists (per 10 000 population)","http://apps.who.int/gho/data/node.wrapper.imr?x-id=5323","PUBLISHED","Published","","2010","2010","","","","","BHR","Bahrain","","0.983","0.98300","","","","","Includes Dentists </br> Data Source: NHWA data platform, accessed November 2018"
"HWF_0010","Dentists (per 10 000 population)","http://apps.who.int/gho/data/node.wrapper.imr?x-id=5323","PUBLISHED","Published","","2013","2013","","","","","OMN","Oman","","2.363","2.36300","","","","","Includes Dentists </br> Data Source: NHWA data platform, accessed November 2018"
"HWF_0010","Dentists (per 10 000 population)","http://apps.who.int/gho/data/node.wrapper.imr?x-id=5323","PUBLISHED","Published","","2009","2009","","","","","RWA","Rwanda","","0.072","0.07200","","","","","Includes Dentists </br> Data Source: NHWA data platform, accessed November 2018"
"HWF_0010","Dentists (per 10 000 population)","http://apps.who.int/gho/data/node.wrapper.imr?x-id=5323","PUBLISHED","Published","","2012","2012","","","","","ARE","United Arab Emirates","","3.531","3.53100","","","","","Includes Dentists </br> Data Source: NHWA data platform, accessed November 2018"
"HWF_0010","Dentists (per 10 000 population)","http://apps.who.int/gho/data/node.wrapper.imr?x-id=5323","PUBLISHED","Published","","2008","2008","","","","","LCA","Saint Lucia","","0.118","0.11800","","","","","Includes Dentists </br> Data Source: NHWA data platform, accessed November 2018"
"HWF_0010","Dentists (per 10 000 population)","http://apps.who.int/gho/data/node.wrapper.imr?x-id=5323","PUBLISHED","Published","","2009","2009","","","","","PAK","Pakistan","","0.588","0.58800","","","","","Includes Dentists </br> Data Source: NHWA data platform, accessed November 2018"
"HWF_0010","Dentists (per 10 000 population)","http://apps.who.int/gho/data/node.wrapper.imr?x-id=5323","PUBLISHED","Published","","2014","2014","","","","","SWE","Sweden","","8.026","8.02600","","","","","Includes Dentists </br> Data Source: NHWA data platform, accessed November 2018"
"HWF_0010","Dentists (per 10 000 population)","http://apps.who.int/gho/data/node.wrapper.imr?x-id=5323","PUBLISHED","Published","","2011","2011","","","","","CHE","Switzerland","","5.199","5.19900","","","","","Includes Dentists </br> Data Source: NHWA data platform, accessed November 2018"
"HWF_0010","Dentists (per 10 000 population)","http://apps.who.int/gho/data/node.wrapper.imr?x-id=5323","PUBLISHED","Published","","2011","2011","","","","","CYP","Cyprus","","6.961","6.96100","","","","","Includes Dentists </br> Data Source: NHWA data platform, accessed November 2018"
