"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS6_102","Hospital beds (per 10 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/97","PUBLISHED","Published","","2005","2005","","WPR","Western Pacific","","COK","Cook Islands","","63","","","","","",""
"WHS6_102","Hospital beds (per 10 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/97","PUBLISHED","Published","","2002","2002","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","4","3.90000","","","","","EMR GHO 22Aug2016"
"WHS6_102","Hospital beds (per 10 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/97","PUBLISHED","Published","","2004","2004","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","4","3.90000","","","","","EMR GHO 22Aug2016"
"WHS6_102","Hospital beds (per 10 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/97","PUBLISHED","Published","","2006","2006","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","4","4.20000","","","","","EMR GHO 22Aug2016"
"WHS6_102","Hospital beds (per 10 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/97","PUBLISHED","Published","","2007","2007","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","4","4.20000","","","","","EMR GHO 22Aug2016"
"WHS6_102","Hospital beds (per 10 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/97","PUBLISHED","Published","","2008","2008","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","4","4.20000","","","","","EMR GHO 22Aug2016"
"WHS6_102","Hospital beds (per 10 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/97","PUBLISHED","Published","","2009","2009","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","4","4.20000","","","","","EMR GHO 22Aug2016"
"WHS6_102","Hospital beds (per 10 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/97","PUBLISHED","Published","","2011","2011","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","4","4.40000","","","","","EMR GHO 22Aug2016"
"WHS6_102","Hospital beds (per 10 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/97","PUBLISHED","Published","","2015","2015","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","5","5.00000","","","","","Government report"
"WHS6_102","Hospital beds (per 10 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/97","PUBLISHED","Published","","2013","2013","","EUR","Europe","","ALB","Albania","","29","28.87500","","","","","EURO HlthRes-DB 14Sep2016"
"WHS6_102","Hospital beds (per 10 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/97","PUBLISHED","Published","","2004","2004","","EUR","Europe","","ALB","Albania","","30","30.07400","","","","","EURO HlthRes-DB 14Sep2016"
"WHS6_102","Hospital beds (per 10 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/97","PUBLISHED","Published","","2003","2003","","EUR","Europe","","ALB","Albania","","31","30.66300","","","","","EURO HlthRes-DB 14Sep2016"
"WHS6_102","Hospital beds (per 10 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/97","PUBLISHED","Published","","2005","2005","","EUR","Europe","","ALB","Albania","","31","30.82900","","","","","EURO HlthRes-DB 14Sep2016"
"WHS6_102","Hospital beds (per 10 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/97","PUBLISHED","Published","","2007","2007","","EUR","Europe","","ALB","Albania","","31","30.94600","","","","","EURO HlthRes-DB 14Sep2016"
"WHS6_102","Hospital beds (per 10 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/97","PUBLISHED","Published","","2006","2006","","EUR","Europe","","ALB","Albania","","31","31.22400","","","","","EURO HlthRes-DB 14Sep2016"
"WHS6_102","Hospital beds (per 10 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/97","PUBLISHED","Published","","2002","2002","","EUR","Europe","","ALB","Albania","","31","31.40900","","","","","EURO HlthRes-DB 14Sep2016"
"WHS6_102","Hospital beds (per 10 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/97","PUBLISHED","Published","","2001","2001","","EUR","Europe","","ALB","Albania","","33","32.55200","","","","","EURO HlthRes-DB 14Sep2016"
"WHS6_102","Hospital beds (per 10 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/97","PUBLISHED","Published","","2004","2004","","AFR","Africa","","DZA","Algeria","","17","17.00000","","","","","AFR GHO 22Aug2016"
"WHS6_102","Hospital beds (per 10 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/97","PUBLISHED","Published","","2000","2000","","AMR","Americas","","ARG","Argentina","","41","41.00000","","","","","PAHO Regional Core Health Data"
"WHS6_102","Hospital beds (per 10 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/97","PUBLISHED","Published","","2011","2011","","AMR","Americas","","ARG","Argentina","","45","45.00000","","","","","PAHO Regional Core Health Data"
"WHS6_102","Hospital beds (per 10 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/97","PUBLISHED","Published","","2012","2012","","AMR","Americas","","ARG","Argentina","","47","47.00000","","","","","PAHO Regional Core Health Data"
"WHS6_102","Hospital beds (per 10 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/97","PUBLISHED","Published","","2013","2013","","AMR","Americas","","ARG","Argentina","","49","49.00000","","","","","PAHO Regional Core Health Data"
"WHS6_102","Hospital beds (per 10 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/97","PUBLISHED","Published","","2014","2014","","AMR","Americas","","ARG","Argentina","","50","50.00000","","","","","PAHO Regional Core Health Data"
"WHS6_102","Hospital beds (per 10 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/97","PUBLISHED","Published","","2009","2009","","EUR","Europe","","ARM","Armenia","","37","37.20400","","","","","EURO HlthRes-DB 14Sep2016"
"WHS6_102","Hospital beds (per 10 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/97","PUBLISHED","Published","","2010","2010","","EUR","Europe","","ARM","Armenia","","37","37.34600","","","","","EURO HlthRes-DB 14Sep2016"
"WHS6_102","Hospital beds (per 10 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/97","PUBLISHED","Published","","2008","2008","","EUR","Europe","","ARM","Armenia","","38","38.21200","","","","","EURO HlthRes-DB 14Sep2016"
"WHS6_102","Hospital beds (per 10 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/97","PUBLISHED","Published","","2013","2013","","EUR","Europe","","ARM","Armenia","","41","40.59600","","","","","EURO HlthRes-DB 14Sep2016"
"WHS6_102","Hospital beds (per 10 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/97","PUBLISHED","Published","","2003","2003","","EUR","Europe","","ARM","Armenia","","44","44.24400","","","","","EURO HlthRes-DB 14Sep2016"
"WHS6_102","Hospital beds (per 10 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/97","PUBLISHED","Published","","2005","2005","","EUR","Europe","","ARM","Armenia","","45","44.60900","","","","","EURO HlthRes-DB 14Sep2016"
"WHS6_102","Hospital beds (per 10 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/97","PUBLISHED","Published","","2000","2000","","EUR","Europe","","ARM","Armenia","","64","64.44300","","","","","EURO HlthRes-DB 14Sep2016"
"WHS6_102","Hospital beds (per 10 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/97","PUBLISHED","Published","","2014","2014","","WPR","Western Pacific","","AUS","Australia","","38","37.90000","","","","","OECD"
"WHS6_102","Hospital beds (per 10 000 population)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/97","PUBLISHED","Published","","2011","2011","","WPR","Western Pacific","","AUS","Australia","","38","38.00000","","","","","WHO/OECD: Health at a Glance Asia/Pacific 2014"
