"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","WORLDBANKINCOMEGROUP (CODE)","WORLDBANKINCOMEGROUP (DISPLAY)","WORLDBANKINCOMEGROUP (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2002","2002","","EMR","Eastern Mediterranean","","WB_LI","Low-income","","AFG","Afghanistan","","9.4","9.44339","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2003","2003","","EMR","Eastern Mediterranean","","WB_LI","Low-income","","AFG","Afghanistan","","8.9","8.94126","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2004","2004","","EMR","Eastern Mediterranean","","WB_LI","Low-income","","AFG","Afghanistan","","9.8","9.80847","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2005","2005","","EMR","Eastern Mediterranean","","WB_LI","Low-income","","AFG","Afghanistan","","9.9","9.94829","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2006","2006","","EMR","Eastern Mediterranean","","WB_LI","Low-income","","AFG","Afghanistan","","10.6","10.62277","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2007","2007","","EMR","Eastern Mediterranean","","WB_LI","Low-income","","AFG","Afghanistan","","9.9","9.90467","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2008","2008","","EMR","Eastern Mediterranean","","WB_LI","Low-income","","AFG","Afghanistan","","10.3","10.25650","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2009","2009","","EMR","Eastern Mediterranean","","WB_LI","Low-income","","AFG","Afghanistan","","9.8","9.81849","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2010","2010","","EMR","Eastern Mediterranean","","WB_LI","Low-income","","AFG","Afghanistan","","8.6","8.56967","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2011","2011","","EMR","Eastern Mediterranean","","WB_LI","Low-income","","AFG","Afghanistan","","8.6","8.56191","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2012","2012","","EMR","Eastern Mediterranean","","WB_LI","Low-income","","AFG","Afghanistan","","7.9","7.89718","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2013","2013","","EMR","Eastern Mediterranean","","WB_LI","Low-income","","AFG","Afghanistan","","8.8","8.80594","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2014","2014","","EMR","Eastern Mediterranean","","WB_LI","Low-income","","AFG","Afghanistan","","9.5","9.52887","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2015","2015","","EMR","Eastern Mediterranean","","WB_LI","Low-income","","AFG","Afghanistan","","10.1","10.10535","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","WB_LI","Low-income","","AFG","Afghanistan","","11.0","10.96198","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2017","2017","","EMR","Eastern Mediterranean","","WB_LI","Low-income","","AFG","Afghanistan","","11.8","11.77719","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2000","2000","","AFR","Africa","","WB_UMI","Upper-middle-income","","DZA","Algeria","","3.5","3.48903","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2001","2001","","AFR","Africa","","WB_UMI","Upper-middle-income","","DZA","Algeria","","3.8","3.83788","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2002","2002","","AFR","Africa","","WB_UMI","Upper-middle-income","","DZA","Algeria","","3.7","3.73004","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2003","2003","","AFR","Africa","","WB_UMI","Upper-middle-income","","DZA","Algeria","","3.6","3.60104","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2004","2004","","AFR","Africa","","WB_UMI","Upper-middle-income","","DZA","Algeria","","3.5","3.54407","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2005","2005","","AFR","Africa","","WB_UMI","Upper-middle-income","","DZA","Algeria","","3.2","3.23516","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2006","2006","","AFR","Africa","","WB_UMI","Upper-middle-income","","DZA","Algeria","","3.4","3.35510","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2007","2007","","AFR","Africa","","WB_UMI","Upper-middle-income","","DZA","Algeria","","3.8","3.82142","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2008","2008","","AFR","Africa","","WB_UMI","Upper-middle-income","","DZA","Algeria","","4.2","4.20188","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2009","2009","","AFR","Africa","","WB_UMI","Upper-middle-income","","DZA","Algeria","","5.4","5.35940","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2010","2010","","AFR","Africa","","WB_UMI","Upper-middle-income","","DZA","Algeria","","5.1","5.11717","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2011","2011","","AFR","Africa","","WB_UMI","Upper-middle-income","","DZA","Algeria","","5.3","5.26748","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2012","2012","","AFR","Africa","","WB_UMI","Upper-middle-income","","DZA","Algeria","","6.0","6.00051","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2013","2013","","AFR","Africa","","WB_UMI","Upper-middle-income","","DZA","Algeria","","6.0","6.03576","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2014","2014","","AFR","Africa","","WB_UMI","Upper-middle-income","","DZA","Algeria","","6.5","6.54721","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2015","2015","","AFR","Africa","","WB_UMI","Upper-middle-income","","DZA","Algeria","","7.0","6.97848","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2016","2016","","AFR","Africa","","WB_UMI","Upper-middle-income","","DZA","Algeria","","6.6","6.60384","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2017","2017","","AFR","Africa","","WB_UMI","Upper-middle-income","","DZA","Algeria","","6.4","6.37432","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2000","2000","","EUR","Europe","","WB_HI","High-income","","AND","Andorra","","9.3","9.34810","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2001","2001","","EUR","Europe","","WB_HI","High-income","","AND","Andorra","","9.4","9.36303","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2002","2002","","EUR","Europe","","WB_HI","High-income","","AND","Andorra","","9.1","9.11928","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2003","2003","","EUR","Europe","","WB_HI","High-income","","AND","Andorra","","8.5","8.46400","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2004","2004","","EUR","Europe","","WB_HI","High-income","","AND","Andorra","","8.2","8.21054","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2005","2005","","EUR","Europe","","WB_HI","High-income","","AND","Andorra","","8.6","8.56598","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2006","2006","","EUR","Europe","","WB_HI","High-income","","AND","Andorra","","8.4","8.43428","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2007","2007","","EUR","Europe","","WB_HI","High-income","","AND","Andorra","","8.4","8.42840","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2008","2008","","EUR","Europe","","WB_HI","High-income","","AND","Andorra","","8.8","8.79254","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2009","2009","","EUR","Europe","","WB_HI","High-income","","AND","Andorra","","9.0","9.02674","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2010","2010","","EUR","Europe","","WB_HI","High-income","","AND","Andorra","","9.4","9.44967","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2011","2011","","EUR","Europe","","WB_HI","High-income","","AND","Andorra","","9.8","9.76589","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2012","2012","","EUR","Europe","","WB_HI","High-income","","AND","Andorra","","10.0","10.04694","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2013","2013","","EUR","Europe","","WB_HI","High-income","","AND","Andorra","","10.1","10.11211","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2014","2014","","EUR","Europe","","WB_HI","High-income","","AND","Andorra","","10.3","10.27648","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2015","2015","","EUR","Europe","","WB_HI","High-income","","AND","Andorra","","10.3","10.25271","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2016","2016","","EUR","Europe","","WB_HI","High-income","","AND","Andorra","","10.3","10.32411","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2017","2017","","EUR","Europe","","WB_HI","High-income","","AND","Andorra","","10.3","10.32055","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2000","2000","","AFR","Africa","","WB_LMI","Lower-middle-income","","AGO","Angola","","1.9","1.90860","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2001","2001","","AFR","Africa","","WB_LMI","Lower-middle-income","","AGO","Angola","","4.5","4.48352","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2002","2002","","AFR","Africa","","WB_LMI","Lower-middle-income","","AGO","Angola","","3.3","3.32946","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2003","2003","","AFR","Africa","","WB_LMI","Lower-middle-income","","AGO","Angola","","3.5","3.54797","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2004","2004","","AFR","Africa","","WB_LMI","Lower-middle-income","","AGO","Angola","","4.0","3.96720","","","","",""
"GHED_CHEGDP_SHA2011","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4950","PUBLISHED","Published","","2005","2005","","AFR","Africa","","WB_LMI","Lower-middle-income","","AGO","Angola","","2.9","2.85220","","","","",""
