"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"SDGIHR","Average of 13 International Health Regulations core capacity scores, 1st version of the questionnaire","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4672","PUBLISHED","Published","","2017","2017","","AFR","Africa","","AGO","Angola","","75","75.23131","","","","",""
"SDGIHR","Average of 13 International Health Regulations core capacity scores, 1st version of the questionnaire","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4672","PUBLISHED","Published","","2017","2017","","AFR","Africa","","BEN","Benin","","30","30.31163","","","","",""
"SDGIHR","Average of 13 International Health Regulations core capacity scores, 1st version of the questionnaire","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4672","PUBLISHED","Published","","2017","2017","","AFR","Africa","","BWA","Botswana","","42","42.08349","","","","",""
"SDGIHR","Average of 13 International Health Regulations core capacity scores, 1st version of the questionnaire","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4672","PUBLISHED","Published","","2017","2017","","AFR","Africa","","BFA","Burkina Faso","","45","44.73519","","","","",""
"SDGIHR","Average of 13 International Health Regulations core capacity scores, 1st version of the questionnaire","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4672","PUBLISHED","Published","","2017","2017","","AFR","Africa","","BDI","Burundi","","25","24.89843","","","","",""
"SDGIHR","Average of 13 International Health Regulations core capacity scores, 1st version of the questionnaire","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4672","PUBLISHED","Published","","2017","2017","","AFR","Africa","","CMR","Cameroon","","57","57.35698","","","","",""
"SDGIHR","Average of 13 International Health Regulations core capacity scores, 1st version of the questionnaire","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4672","PUBLISHED","Published","","2017","2017","","AFR","Africa","","CPV","Cabo Verde","","65","64.51923","","","","",""
"SDGIHR","Average of 13 International Health Regulations core capacity scores, 1st version of the questionnaire","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4672","PUBLISHED","Published","","2017","2017","","AFR","Africa","","CAF","Central African Republic","","27","26.88327","","","","",""
"SDGIHR","Average of 13 International Health Regulations core capacity scores, 1st version of the questionnaire","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4672","PUBLISHED","Published","","2017","2017","","AFR","Africa","","TCD","Chad","","44","44.47054","","","","",""
"SDGIHR","Average of 13 International Health Regulations core capacity scores, 1st version of the questionnaire","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4672","PUBLISHED","Published","","2017","2017","","AFR","Africa","","COM","Comoros","","37","37.36737","","","","",""
"SDGIHR","Average of 13 International Health Regulations core capacity scores, 1st version of the questionnaire","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4672","PUBLISHED","Published","","2017","2017","","AFR","Africa","","COG","Congo","","31","30.72331","","","","",""
"SDGIHR","Average of 13 International Health Regulations core capacity scores, 1st version of the questionnaire","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4672","PUBLISHED","Published","","2017","2017","","AFR","Africa","","CIV","Côte d'Ivoire","","87","86.59348","","","","",""
"SDGIHR","Average of 13 International Health Regulations core capacity scores, 1st version of the questionnaire","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4672","PUBLISHED","Published","","2017","2017","","AFR","Africa","","COD","Democratic Republic of the Congo","","65","65.21345","","","","",""
"SDGIHR","Average of 13 International Health Regulations core capacity scores, 1st version of the questionnaire","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4672","PUBLISHED","Published","","2017","2017","","AFR","Africa","","GNQ","Equatorial Guinea","","27","26.82054","","","","",""
"SDGIHR","Average of 13 International Health Regulations core capacity scores, 1st version of the questionnaire","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4672","PUBLISHED","Published","","2017","2017","","AFR","Africa","","ERI","Eritrea","","49","49.28016","","","","",""
"SDGIHR","Average of 13 International Health Regulations core capacity scores, 1st version of the questionnaire","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4672","PUBLISHED","Published","","2017","2017","","AFR","Africa","","ETH","Ethiopia","","79","79.11332","","","","",""
"SDGIHR","Average of 13 International Health Regulations core capacity scores, 1st version of the questionnaire","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4672","PUBLISHED","Published","","2017","2017","","AFR","Africa","","GAB","Gabon","","52","51.68062","","","","",""
"SDGIHR","Average of 13 International Health Regulations core capacity scores, 1st version of the questionnaire","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4672","PUBLISHED","Published","","2017","2017","","AFR","Africa","","GMB","Gambia","","27","27.16959","","","","",""
"SDGIHR","Average of 13 International Health Regulations core capacity scores, 1st version of the questionnaire","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4672","PUBLISHED","Published","","2017","2017","","AFR","Africa","","GHA","Ghana","","74","73.70528","","","","",""
"SDGIHR","Average of 13 International Health Regulations core capacity scores, 1st version of the questionnaire","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4672","PUBLISHED","Published","","2017","2017","","WPR","Western Pacific","","LAO","Lao People's Democratic Republic","","No data","","","","","","Data were submitted in a format that could not be included in the analysis"
"SDGIHR","Average of 13 International Health Regulations core capacity scores, 1st version of the questionnaire","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4672","PUBLISHED","Published","","2017","2017","","AMR","Americas","","JAM","Jamaica","","No data","","","","","","Data were submitted in a format that could not be included in the analysis"
"SDGIHR","Average of 13 International Health Regulations core capacity scores, 1st version of the questionnaire","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4672","PUBLISHED","Published","","2017","2017","","AFR","Africa","","DZA","Algeria","","75","75.28672","","","","",""
"SDGIHR","Average of 13 International Health Regulations core capacity scores, 1st version of the questionnaire","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4672","PUBLISHED","Published","","2017","2017","","AFR","Africa","","KEN","Kenya","","58","57.70173","","","","",""
"SDGIHR","Average of 13 International Health Regulations core capacity scores, 1st version of the questionnaire","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4672","PUBLISHED","Published","","2017","2017","","AFR","Africa","","UGA","Uganda","","58","58.39556","","","","",""
"SDGIHR","Average of 13 International Health Regulations core capacity scores, 1st version of the questionnaire","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4672","PUBLISHED","Published","","2017","2017","","AFR","Africa","","ZMB","Zambia","","64","63.72115","","","","",""
"SDGIHR","Average of 13 International Health Regulations core capacity scores, 1st version of the questionnaire","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4672","PUBLISHED","Published","","2017","2017","","AFR","Africa","","ZWE","Zimbabwe","","72","72.26451","","","","",""
"SDGIHR","Average of 13 International Health Regulations core capacity scores, 1st version of the questionnaire","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4672","PUBLISHED","Published","","2017","2017","","AMR","Americas","","ATG","Antigua and Barbuda","","71","70.78790","","","","",""
"SDGIHR","Average of 13 International Health Regulations core capacity scores, 1st version of the questionnaire","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4672","PUBLISHED","Published","","2017","2017","","AMR","Americas","","ARG","Argentina","","70","70.22102","","","","",""
"SDGIHR","Average of 13 International Health Regulations core capacity scores, 1st version of the questionnaire","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4672","PUBLISHED","Published","","2017","2017","","AMR","Americas","","BHS","Bahamas","","78","77.78353","","","","",""
"SDGIHR","Average of 13 International Health Regulations core capacity scores, 1st version of the questionnaire","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4672","PUBLISHED","Published","","2017","2017","","AMR","Americas","","BRB","Barbados","","92","91.94527","","","","",""
"SDGIHR","Average of 13 International Health Regulations core capacity scores, 1st version of the questionnaire","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4672","PUBLISHED","Published","","2017","2017","","AMR","Americas","","BOL","Bolivia (Plurinational State of)","","76","76.38551","","","","",""
"SDGIHR","Average of 13 International Health Regulations core capacity scores, 1st version of the questionnaire","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4672","PUBLISHED","Published","","2017","2017","","AMR","Americas","","BRA","Brazil","","96","96.14100","","","","",""
"SDGIHR","Average of 13 International Health Regulations core capacity scores, 1st version of the questionnaire","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4672","PUBLISHED","Published","","2017","2017","","AMR","Americas","","CAN","Canada","","100","100.00000","","","","",""
"SDGIHR","Average of 13 International Health Regulations core capacity scores, 1st version of the questionnaire","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4672","PUBLISHED","Published","","2017","2017","","AMR","Americas","","CHL","Chile","","84","83.64106","","","","",""
"SDGIHR","Average of 13 International Health Regulations core capacity scores, 1st version of the questionnaire","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4672","PUBLISHED","Published","","2017","2017","","AMR","Americas","","COL","Colombia","","88","88.15664","","","","",""
"SDGIHR","Average of 13 International Health Regulations core capacity scores, 1st version of the questionnaire","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4672","PUBLISHED","Published","","2017","2017","","AMR","Americas","","CRI","Costa Rica","","87","87.15872","","","","",""
