"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","DATASOURCE (CODE)","DATASOURCE (DISPLAY)","DATASOURCE (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","RESIDENCEAREATYPE (CODE)","RESIDENCEAREATYPE (DISPLAY)","RESIDENCEAREATYPE (URL)","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2015","2015","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","","","","34","0.33623","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2017","2017","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","","","","37","0.37180","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2017","2017","","AFR","Africa","","AGO","Angola","","","","","40","0.39566","","","","",""
"UHC_AVAILABILITY_SCORE","Data availability for UHC index of service coverage","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4833","","","","PUBLISHED","Published","","2013-2017","2013-2017","","EMR","Eastern Mediterranean","","ARE","United Arab Emirates","","","","","46","0.45714","","","","",""
"UHC_AVAILABILITY_SCORE","Data availability for UHC index of service coverage","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4833","","","","PUBLISHED","Published","","2013-2017","2013-2017","","AMR","Americas","","ARG","Argentina","","","","","34","0.34286","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2015","2015","","EUR","Europe","","ARM","Armenia","","","","","66","0.66495","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2015","2015","","AMR","Americas","","ATG","Antigua and Barbuda","","","","","73","0.73341","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2017","2017","","WPR","Western Pacific","","AUS","Australia","","","","","87","0.86587","","","","",""
"UHC_AVAILABILITY_SCORE","Data availability for UHC index of service coverage","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4833","","","","PUBLISHED","Published","","2013-2017","2013-2017","","AFR","Africa","","BDI","Burundi","","","","","40","0.40000","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2015","2015","","AFR","Africa","","BEN","Benin","","","","","40","0.40250","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2017","2017","","AFR","Africa","","BFA","Burkina Faso","","","","","40","0.39691","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2017","2017","","SEAR","South-East Asia","","BGD","Bangladesh","","","","","48","0.48221","","","","",""
"UHC_AVAILABILITY_SCORE","Data availability for UHC index of service coverage","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4833","","","","PUBLISHED","Published","","2013-2017","2013-2017","","EMR","Eastern Mediterranean","","BHR","Bahrain","","","","","33","0.32857","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2015","2015","","EUR","Europe","","BIH","Bosnia and Herzegovina","","","","","60","0.59568","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2015","2015","","EUR","Europe","","BLR","Belarus","","","","","74","0.74461","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2017","2017","","EUR","Europe","","BLR","Belarus","","","","","76","0.76464","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2017","2017","","AMR","Americas","","BLZ","Belize","","","","","64","0.64276","","","","",""
"UHC_AVAILABILITY_SCORE","Data availability for UHC index of service coverage","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4833","","","","PUBLISHED","Published","","2013-2017","2013-2017","","AMR","Americas","","BRA","Brazil","","","","","43","0.42857","","","","",""
"UHC_AVAILABILITY_SCORE","Data availability for UHC index of service coverage","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4833","","","","PUBLISHED","Published","","2013-2017","2013-2017","","AMR","Americas","","BRB","Barbados","","","","","37","0.37143","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2015","2015","","WPR","Western Pacific","","BRN","Brunei Darussalam","","","","","83","0.83202","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2015","2015","","SEAR","South-East Asia","","BTN","Bhutan","","","","","59","0.59016","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2017","2017","","AFR","Africa","","BWA","Botswana","","","","","61","0.61322","","","","",""
"UHC_AVAILABILITY_SCORE","Data availability for UHC index of service coverage","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4833","","","","PUBLISHED","Published","","2013-2017","2013-2017","","AMR","Americas","","CAN","Canada","","","","","40","0.40000","","","","",""
"UHC_AVAILABILITY_SCORE","Data availability for UHC index of service coverage","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4833","","","","PUBLISHED","Published","","2013-2017","2013-2017","","EUR","Europe","","CHE","Switzerland","","","","","36","0.35714","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2015","2015","","WPR","Western Pacific","","CHN","China","","","","","76","0.76220","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2017","2017","","AFR","Africa","","CIV","Côte d'Ivoire","","","","","47","0.47328","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2017","2017","","AFR","Africa","","CMR","Cameroon","","","","","46","0.45939","","","","",""
"UHC_AVAILABILITY_SCORE","Data availability for UHC index of service coverage","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4833","","","","PUBLISHED","Published","","2013-2017","2013-2017","","AFR","Africa","","COG","Congo","","","","","33","0.32857","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2015","2015","","AFR","Africa","","COM","Comoros","","","","","49","0.48939","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2015","2015","","AFR","Africa","","CPV","Cabo Verde","","","","","67","0.67004","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2017","2017","","AFR","Africa","","CPV","Cabo Verde","","","","","69","0.68913","","","","",""
"UHC_INDEX_REPORTED","UHC index of service coverage (SCI)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834","","","","PUBLISHED","Published","","2017","2017","","AMR","Americas","","CRI","Costa Rica","","","","","77","0.77042","","","","",""
"UHC_AVAILABILITY_SCORE","Data availability for UHC index of service coverage","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4833","","","","PUBLISHED","Published","","2013-2017","2013-2017","","EUR","Europe","","CYP","Cyprus","","","","","41","0.41429","","","","",""
