"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"DEVICES01","Total density per 100 000 population: Health posts","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3010","PUBLISHED","Published","","2010","2010","","AFR","Africa","","CPV","Cabo Verde","","33.67","33.67000","","","","",""
"DEVICES01","Total density per 100 000 population: Health posts","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3010","PUBLISHED","Published","","2010","2010","","AFR","Africa","","CAF","Central African Republic","","12.77","12.77000","","","","",""
"DEVICES01","Total density per 100 000 population: Health posts","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3010","PUBLISHED","Published","","2010","2010","","AFR","Africa","","TCD","Chad","","6.72","6.72000","","","","",""
"DEVICES01","Total density per 100 000 population: Health posts","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3010","PUBLISHED","Published","","2010","2010","","AMR","Americas","","CHL","Chile","","11.00","11.00000","","","","","Only public sector data"
"DEVICES01","Total density per 100 000 population: Health posts","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3010","PUBLISHED","Published","","2010","2010","","AFR","Africa","","COM","Comoros","","7.08","7.08000","","","","",""
"DEVICES01","Total density per 100 000 population: Health posts","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3010","PUBLISHED","Published","","2010","2010","","EUR","Europe","","KGZ","Kyrgyzstan","","17.77","17.77000","","","","","Only public sector data"
"DEVICES01","Total density per 100 000 population: Health posts","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3010","PUBLISHED","Published","","2010","2010","","EMR","Eastern Mediterranean","","LBN","Lebanon","","2.79","2.79000","","","","",""
"DEVICES01","Total density per 100 000 population: Health posts","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3010","PUBLISHED","Published","","2010","2010","","AFR","Africa","","LBR","Liberia","","10.01","10.01000","","","","",""
"DEVICES01","Total density per 100 000 population: Health posts","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3010","PUBLISHED","Published","","2010","2010","","EMR","Eastern Mediterranean","","LBY","Libya","","28.54","28.54000","","","","",""
"DEVICES01","Total density per 100 000 population: Health posts","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3010","PUBLISHED","Published","","2010","2010","","AFR","Africa","","NAM","Namibia","","12.88","12.88000","","","","",""
